31082019 200632 Dotdotdot So I accidentally left my brand new Harry Potter mug and all my plates in my kitchen cupboard and I am upset to find all of it now gone Whoever has been using it to plate up their musty smelling food is a FUCKING TRAMP and definitely belongs in  on the steps with the crackheads FUCK YOU AND YOUR MUM Eating dinner is the only thing I look forward to in ,"['31082019', '200632', 'Dotdotdot', 'So', 'I', 'accidentally', 'left', 'my', 'brand', 'new', 'Harry', 'Potter', 'mug', 'and', 'all', 'my', 'plates', 'in', 'my', 'kitchen', 'cupboard', 'and', 'I', 'am', 'upset', 'to', 'find', 'all', 'of', 'it', 'now', 'gone', 'Whoever', 'has', 'been', 'using', 'it', 'to', 'plate', 'up', 'their', 'musty', 'smelling', 'food', 'is', 'a', 'FUCKING', 'TRAMP', 'and', 'definitely', 'belongs', 'in', 'booth', 'house', 'on', 'the', 'steps', 'with', 'the', 'crackheads', 'FUCK', 'YOU', 'AND', 'YOUR', 'MUM', 'Eating', 'dinner', 'is', 'the', 'only', 'thing', 'I', 'look', 'forward', 'to', 'in', 'Booth', 'House']"
31082019 200732 Dotdotdot Booth House Booth House ´åinside joke for those worries but serious can I get my stuff back Please just leave my stuff in the 2A kitchen,"['31082019', '200732', 'Dotdotdot', 'ÌÎå»ÌÎÌÁÌ´\x81inside', 'joke', 'for', 'those', 'worries', 'but', 'serious', 'can', 'I', 'get', 'my', 'stuff', 'back', 'Please', 'just', 'leave', 'my', 'stuff', 'in', 'the', '2A', 'kitchen']"
31082019 200740 Dotdotdot Worried,"['31082019', '200740', 'Dotdotdot', 'Worried']"
 Booth House,['ÌÎå»Ì´å£ÌÎå»Ì´å£ÌÎå»Ì´å£']
 I was about to say something about plagiarism  Booth HouseBooth House,"['I', 'was', 'about', 'to', 'say', 'something', 'about', 'plagiarism', 'ÌÎå»Ì´å£ÌÎå»Ì´å£']"
 Could they be down at the cake stall perhaps Were they blue plates Or Harry Potter plates,"['Could', 'they', 'be', 'down', 'at', 'the', 'cake', 'stall', 'perhaps', 'Were', 'they', 'blue', 'plates', 'Or', 'Harry', 'Potter', 'plates']"
31082019 211644 Dotdotdot 1 Harry Potter mug 3 white plates with grey butterflies on and 2 bowls same butterflies,"['31082019', '211644', 'Dotdotdot', '1', 'Harry', 'Potter', 'mug', '3', 'white', 'plates', 'with', 'grey', 'butterflies', 'on', 'and', '2', 'bowls', 'same', 'butterflies']"
 Oh what glory is it  this good royal country ,"['Oh', 'what', 'glory', 'is', 'it', 'this', 'good', 'royal', 'country']"
O What wonder must it be to be the man with the brunt and the glee to change the course of history with the aid of a noble monarch who can Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´åÈt even remember what she had for tealet alone allow the collapse of a democracy,"['O', 'What', 'wonder', 'must', 'it', 'be', 'to', 'be', 'the', 'man', 'with', 'the', 'brunt', 'and', 'the', 'glee', 'to', 'change', 'the', 'course', 'of', 'history', 'with', 'the', 'aid', 'of', 'a', 'noble', 'monarch', 'who', 'canÌ´Ì_ÌÎÌÌ´åÈt', 'even', 'remember', 'what', 'she', 'had', 'for', 'tealet', 'alone', 'allow', 'the', 'collapse', 'of', 'a', 'democracy']"
Oh what glory it is the honour we harbor a Brexit we didn Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´åÈt vote for and a nation sailing out to sea ,"['Oh', 'what', 'glory', 'it', 'is', 'the', 'honour', 'we', 'harbor', 'a', 'Brexit', 'we', 'didnÌ´Ì_ÌÎÌÌ´åÈt', 'vote', 'for', 'and', 'a', 'nation', 'sailing', 'out', 'to', 'sea']"
 Booth House,"['Booth', 'House']"
31082019 213542 Jen Dotdotdot Booth House,"['31082019', '213542', 'Jen', 'Dotdotdot', 'ÌÎå»ÌÎÌÁ']"
 Booth House,"['Booth', 'House']"
01092019 114837 Dotdotdot Hey boothers so I left my wallet it a black cab last night and have no cash Could someone feed me today please Booth House Booth House Î Booth House _,"['01092019', '114837', 'Dotdotdot', 'Hey', 'boothers', 'so', 'I', 'left', 'my', 'wallet', 'it', 'a', 'black', 'cab', 'last', 'night', 'and', 'have', 'no', 'cash', 'Could', 'someone', 'feed', 'me', 'today', 'please', 'ÌÎå»ÌÎÌÁÌÎÌ_']"
01092019 115023 Dotdotdot I will pay you back in 2 working days,"['01092019', '115023', 'Dotdotdot', 'I', 'will', 'pay', 'you', 'back', 'in', '2', 'working', 'days']"
 How much do you need,"['How', 'much', 'do', 'you', 'need']"
 Ill be back in da house between 1230130pm then I need to leave,"['Ill', 'be', 'back', 'in', 'da', 'house', 'between', '1230130pm', 'then', 'I', 'need', 'to', 'leave']"
